,acc_phone_x,acc_phone_y,acc_phone_z,bar_phone_x,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_h,loc_phone_vel,loc_phone_dir,loc_phone_hor_acc,loc_phone_ver_acc,mag_phone_x,mag_phone_y,mag_phone_z,dist_phone_dis,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup
2016-02-08 18:28:27.958190336,-4.021372512799999,-4.6391378632,-9.142927185,,-0.62989005149,-0.2051631705894,0.46615307034,-0.07150706200599999,-0.565467561214,-0.93973988285,,,,,,,,32.10108757,27.133714293,28.247551729,,0,1,0,0,0,0,0
2016-02-08 18:28:28.058190336,-4.4384651642,-4.792299362,-10.0143849798,,-0.05906163694669999,0.06375423427304999,-0.07451052218399999,-0.22929400099,-1.3925009881700001,-1.7505903512999998,,,,,,,,33.486092376,24.153674698000003,29.049746705,,0,1,0,0,0,0,0
2016-02-08 18:28:28.158190336,-4.2439446717,-4.3500889435,-10.1282831263,1015.635681,0.65046647787,0.26027147472,-0.49719067513000004,-0.37563033753690006,-0.5603648422699999,-2.1125386721,,,,,,,,32.822734834,25.004162598,29.270474625,,0,1,0,0,0,0,0
2016-02-08 18:28:28.258190336,-3.2307166901000004,-4.263194641100001,-9.2413026124,,1.10582996008,0.2350623771500001,-0.66674751639,0.04058052447212,0.68069358221,-1.4425282744,,,,,,,,30.603182982,29.001243972000005,28.483795929,,0,1,0,0,0,0,0
2016-02-08 18:28:28.358190336,-2.8395650939999997,-4.661800735500001,-8.105255035399999,,1.7593576908000004,0.262470229705,-0.2936312914,-0.007013413578200007,1.39298177556,-1.3643984804700002,,,,,,,,28.081085969000007,34.472226333,25.565805627,,0,1,0,0,0,0,0
2016-02-08 18:28:28.458190336,-1.4058165893,-5.9939555055,-5.330295593299999,,2.1662284612,0.36949025988000006,-0.06693192693000001,1.10768328913,1.7759157531999998,0.15349034642200002,,,,,,,,26.065309141999997,40.19434204,19.964939309000002,,0,1,0,0,0,0,0
2016-02-08 18:28:28.558190336,-0.8652157745299999,-7.010731109599999,-2.5425527344,,2.647964716,0.6801177590399999,0.42669337093000004,1.6890263334,1.30193062919,1.1402906089700002,,,,,,,,24.956659699,44.603071595,11.778334617800002,,0,1,0,0,0,0,0
2016-02-08 18:28:28.658190336,-2.4861051178,-11.630050187299998,0.5596861267700002,,2.8971544861900003,0.06052148341999999,-1.07906964109,-0.13791481119999993,-2.02846144083,1.74554040353,,,,,,,,24.46352806,47.02557830600001,1.58586092002,,0,1,0,0,0,0,0
2016-02-08 18:28:28.758190336,-1.26482478335,-8.335117035,-1.6544645233500002,,0.21463914996599998,-1.1833905160099998,-0.51639950125,-0.47206933509559995,2.0069214095900003,-1.23225438702,,,,,,,,18.417711641,49.90568924,-9.6727981563,,0,1,0,0,0,0,0
2016-02-08 18:28:28.858190336,-2.312645828212,-9.9482674703,1.330912353451,,-0.244383515405,0.7421725272459999,-0.16371482201000004,-0.9316628462699998,-0.7730238362900003,1.295848472522,,,,,,,,15.944706057000001,50.606259918,-11.913382721,,0,1,0,0,0,0,0
2016-02-08 18:28:28.958190336,-1.34814152532,-9.7298716278,1.13097312916,,-0.5084777057200001,0.4973087623760001,0.33285312353,-0.8223822520399999,0.4256054371800001,1.5649596876700003,,,,,,,,16.335141658999998,50.859288026,-8.751950836199999,,0,1,0,0,0,0,0
2016-02-08 18:28:29.058190336,-2.2221140900000003,-7.9394598082000005,-0.8331524505649999,,-1.7112457575100002,-2.0241075225569998,1.3744249939900002,-0.34879818117899997,1.434827959178,1.6204251329099997,,,,,,,,18.805700300999998,50.06555862199999,-5.9513788223000015,,0,1,0,0,0,0,0
2016-02-08 18:28:29.158190336,-2.0675754547,-9.9638500677,-3.524929870384,,-1.7860685645999996,0.4681660562044,0.96448998445,1.28271314093,-1.14163377301,-1.1917716883,,,,,,,,25.789903641,45.946445465,1.6762156963540005,,0,1,0,0,0,0,0
2016-02-08 18:28:29.258190336,-4.092699188399998,-7.124689132600001,-4.817417129480001,1015.584259,-2.2261052727,-0.35812707274600003,0.48026687205,-0.269124561518,-0.15198480542199996,0.39384523288999984,,,,,,,,29.858108138000013,41.724482726000005,10.5195583325,,0,1,0,0,0,0,0
2016-02-08 18:28:29.358190336,-1.5464491424399998,-6.581199325499999,-5.3074830321999995,,-1.6269897460000002,-0.15810064849379998,0.39937421381,2.35579599944,0.31910799350400004,0.8014593722799999,,,,,,,,32.019885635,37.381764221,17.367460918,,0,1,0,0,0,0,0
2016-02-08 18:28:29.458190336,-3.8295613861,-4.571074401900002,-7.5824671784,,-1.8962760568,0.006274685259000004,0.6299733430100001,0.8971545819889999,0.43962948689,-0.349092457016,,,,,,,,34.239057922,32.132076263,22.184269524,,0,1,0,0,0,0,0
2016-02-08 18:28:29.558190336,-4.789934280300001,-4.546630233699998,-8.497185012800001,,-1.07566437136,-0.09544708115,0.80368260143,0.3305501468083,-0.8840984218731001,-0.7013760902200001,,,,,,,,36.28208274800001,25.389790343,26.769021796999997,,0,1,0,0,0,0,0
2016-02-08 18:28:29.658190336,-6.0518401335,-3.5172358703999995,-9.6436209868,,-0.39700684547,-0.13006671444499998,0.4727155148899999,-0.8070692493800001,-0.7360447289000001,-1.7127143103000002,,,,,,,,38.36179237500001,19.591535949,28.176385307000004,,0,1,0,0,0,0,0
2016-02-08 18:28:29.758190336,-5.686599655099998,-2.7030639494999997,-9.180409240800001,,0.062742012002,0.0006979929290999994,-0.09634527215629997,-0.4890728700729999,-0.174657500966,-1.3642644623,,,,,,,,39.21591033899999,17.450719451999998,28.420722770999998,,0,1,0,0,0,0,0
2016-02-08 18:28:29.858190336,-5.7293806914999985,-2.8247758484000003,-9.4533217161,,0.6235216915599999,0.249685516946,-0.393569386,-0.7440278447399999,0.35970854471,-1.6548372833000002,,,,,,,,38.904394912,18.549334335999998,28.166720773,,0,1,0,0,0,0,0
2016-02-08 18:28:29.958190336,-4.252042831500002,-2.7836713256,-9.122898834299999,,1.05913125884,0.28011080772,-0.68681133985,0.2237525362388,1.1527233389899998,-1.5426756418,,,,,,,,37.15866927999999,22.501821899,28.032724190000003,,0,1,0,0,0,0,0
2016-02-08 18:28:30.058190336,-3.4037867889,-3.2421080016999992,-8.3391436616,,1.5464112403,-0.019836806228,-0.51269321441,0.6503756228600001,2.22437705,-1.3997384087,,,,,,,,34.919135667,28.221295165,26.077645683000004,,0,1,0,0,0,0,0
2016-02-08 18:28:30.158190336,-2.680805237,-5.7390954894,-6.1381057435000015,,1.8591422200999999,-0.1050730179207,-0.40110753177,1.3727790900000003,1.21881620074,-0.408173951855,,,,,,,,33.202846909,34.076060868,21.176719282,,0,1,0,0,0,0,0
2016-02-08 18:28:30.258190336,-2.6500891114,-7.2828053284,-3.7166212463,1015.652466,2.0665669919000003,-0.006690639071299997,-0.148936497414,1.16140087012,0.48204211947,0.459989491821,,,,,,,,31.659817504,38.964298249,14.598865508999998,,0,1,0,0,0,0,0
2016-02-08 18:28:30.358190336,-3.1450648042,-11.5201487269,-1.23047122201,1015.591965,3.0778339145999998,0.648241671875,-1.67693987939,0.22397076901000004,-2.501495515973,0.92060396325,,,,,,,,30.072496796,42.452441406999995,6.698057938,,0,1,0,0,0,0,0
2016-02-08 18:28:30.458190336,-0.9835297393600001,-7.3908805847000005,0.265907043419,,1.3530596792000005,-1.51336604968,-1.0608522295600002,0.40374050524,1.97649910664,0.917854338562,,,,,,,,21.804515075,47.894798278,-5.029875373833,,0,1,0,0,0,0,0
2016-02-08 18:28:30.558190336,-2.1868474274,-10.3416494288,-0.19115249644999996,,0.33383082962699995,0.4712847620400001,-0.4068369977060001,-1.157686945304,0.022076864279999976,-0.921410612384,52.3660912,4.879548839,2.408051313,0.2385076284,162.0192968,19.65252242,19.65252242,16.168431091000002,49.190280915,-12.197232245999999,,0,1,0,0,0,0,0
2016-02-08 18:28:30.658190336,-1.19700082391,-9.295340240700002,1.1608360289200002,,-0.49495683908,0.8640494047999999,-0.023840354373000004,-0.5092384697,0.24606282141,0.70763957286,,,,,,,,15.136101723,49.599479676,-12.167963027000006,,0,1,0,0,0,0,0
2016-02-08 18:28:30.758190336,-0.7164700927200001,-9.8518679352,2.0452718353999995,,-0.46315396727,0.089621112542,0.20698053686999998,0.02655199433000001,-0.04843815904700001,2.3145929512,,,,,,,,16.056240845,49.993342592,-8.620648766,,0,1,0,0,0,0,0
2016-02-08 18:28:30.858190336,-1.54378468318,-8.5475852051,1.0661279754500002,,-0.72859787348,0.5903753959660001,0.55216131806,-0.067001358419,0.8658456950569999,1.7158743062000001,,,,,,,,17.185108949,49.992909241999996,-6.2821872711,,0,1,0,0,0,0,0
